"Date","Time, GMT-04:00","Temp, °C","RH, %","DewPt, °C","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
2018-08-28,10:05:00,32.227,98.173,31.630,,,,,
2018-08-28,10:10:00,32.768,93.518,31.410,,,,,
2018-08-28,10:15:00,33.053,89.662,31.025,,,,,
2018-08-28,10:20:00,33.313,88.037,30.990,,,,,
2018-08-28,10:25:00,34.308,81.627,30.751,,,,,
2018-08-28,10:30:00,35.182,77.193,30.691,,,,,
2018-08-28,10:35:00,35.958,74.806,30.927,,,,,
2018-08-28,10:40:00,36.362,69.917,30.197,,,,,
2018-08-28,10:45:00,35.716,69.987,29.594,,,,,
2018-08-28,10:50:00,34.863,70.481,28.891,,,,,
2018-08-28,10:55:00,34.281,71.753,28.625,,,,,
2018-08-28,11:00:00,34.440,70.067,28.388,,,,,
2018-08-28,11:05:00,35.288,66.845,28.427,,,,,
2018-08-28,11:10:00,35.555,66.235,28.530,,,,,
2018-08-28,11:15:00,36.661,63.307,28.829,,,,,
2018-08-28,11:20:00,38.143,61.252,29.675,,,,,
2018-08-28,11:25:00,39.290,55.672,29.134,,,,,
2018-08-28,11:30:00,39.886,53.888,29.133,,,,,
2018-08-28,11:35:00,40.372,54.020,29.624,,,,,
2018-08-28,11:40:00,41.036,50.700,29.151,,,,,
2018-08-28,11:45:00,41.560,48.830,28.987,,,,,
2018-08-28,11:50:00,41.502,47.077,28.306,,,,,
2018-08-28,11:55:00,39.658,50.325,27.761,,,,,
2018-08-28,12:00:00,37.728,55.452,27.615,,,,,
2018-08-28,12:05:00,36.525,59.277,27.606,,,,,
2018-08-28,12:10:00,35.797,60.156,27.167,,,,,
2018-08-28,12:15:00,35.102,62.647,27.181,,,,,
2018-08-28,12:20:00,34.519,64.406,27.084,,,,,
2018-08-28,12:25:00,34.440,64.612,27.062,,,,,
2018-08-28,12:30:00,34.783,62.690,26.892,,,,,
2018-08-28,12:35:00,35.475,61.884,27.332,,,,,
2018-08-28,12:40:00,35.850,59.750,27.105,,,,,
2018-08-28,12:45:00,35.529,61.925,27.393,,,,,
2018-08-28,12:50:00,35.877,60.423,27.316,,,,,
2018-08-28,12:55:00,36.012,60.157,27.369,,,,,
2018-08-28,13:00:00,36.065,60.866,27.614,,,,,
2018-08-28,13:05:00,36.092,59.883,27.369,,,,,
2018-08-28,13:10:00,36.335,60.621,27.801,,,,,
2018-08-28,13:15:00,36.606,58.841,27.560,,,,,
2018-08-28,13:20:00,35.823,60.224,27.211,,,,,
2018-08-28,13:25:00,34.836,63.328,27.108,,,,,
2018-08-28,13:30:00,34.704,60.560,26.250,,,,,
2018-08-28,13:35:00,35.985,58.171,26.788,,,,,
2018-08-28,13:40:00,35.985,57.561,26.613,,,,,
2018-08-28,13:45:00,35.208,60.448,26.693,,,,,
2018-08-28,13:50:00,34.413,63.009,26.625,,,,,
2018-08-28,13:55:00,33.757,64.874,26.479,,,,,
2018-08-28,14:00:00,33.521,65.644,26.448,,,,,
2018-08-28,14:05:00,33.313,66.880,26.553,,,,,
2018-08-28,14:10:00,33.391,66.584,26.555,,,,,
2018-08-28,14:15:00,33.730,65.834,26.694,,,,,
2018-08-28,14:20:00,34.757,63.221,27.005,,,,,
2018-08-28,14:25:00,35.877,60.200,27.255,,,,,
2018-08-28,14:30:00,36.796,57.873,27.461,,,,,
2018-08-28,14:35:00,36.606,57.813,27.266,,,,,
2018-08-28,14:40:00,36.552,57.741,27.195,,,,,
2018-08-28,14:45:00,36.444,57.885,27.135,,,,,
2018-08-28,14:50:00,35.555,58.715,26.540,,,,,
2018-08-28,14:55:00,34.677,62.642,26.779,,,,,
2018-08-28,15:00:00,34.360,62.906,26.549,,,,,
2018-08-28,15:05:00,34.281,62.201,26.289,,,,,
2018-08-28,15:10:00,34.466,63.206,26.726,,,,,
2018-08-28,15:15:00,34.836,62.982,27.018,,,,,
2018-08-28,15:20:00,36.012,60.094,27.352,,,,,
2018-08-28,15:25:00,36.012,60.380,27.430,,,,,
2018-08-28,15:30:00,35.342,61.040,26.980,,,,,
2018-08-28,15:35:00,35.529,62.114,27.444,,,,,
2018-08-28,15:40:00,36.579,58.676,27.488,,,,,
