"Date","Time, GMT-04:00","K-Type, °C (LGR S/N: 2249232)"
2017/07/05,12:37:48,42.64
2017/07/05,12:37:49,44.29
2017/07/05,12:37:50,45.28
2017/07/05,12:37:51,46.59
2017/07/05,12:37:52,46.59
2017/07/05,12:37:53,46.59
2017/07/05,12:37:54,46.26
2017/07/05,12:37:55,45.28
2017/07/05,12:37:56,46.26
2017/07/05,12:37:57,46.59
2017/07/05,12:37:58,47.58
2017/07/05,12:37:59,47.91
2017/07/05,12:38:00,48.24
2017/07/05,12:38:01,48.24
2017/07/05,12:38:02,48.57
2017/07/05,12:38:03,48.24
2017/07/05,12:38:04,47.91
2017/07/05,12:38:05,48.24
2017/07/05,12:38:06,47.91
2017/07/05,12:38:07,48.24
2017/07/05,12:38:08,48.24
2017/07/05,12:38:09,48.57
2017/07/05,12:38:10,47.91
2017/07/05,12:38:11,47.91
2017/07/05,12:38:12,46.92
2017/07/05,12:38:13,45.94
2017/07/05,12:38:14,46.59
2017/07/05,12:38:15,47.91
2017/07/05,12:38:16,48.57
2017/07/05,12:38:17,48.90
2017/07/05,12:38:18,47.58
2017/07/05,12:38:19,46.92
2017/07/05,12:38:20,47.91
2017/07/05,12:38:21,48.90
2017/07/05,12:38:22,49.56
2017/07/05,12:38:23,49.88
2017/07/05,12:38:24,50.21
2017/07/05,12:38:25,50.87
2017/07/05,12:38:26,51.20
2017/07/05,12:38:27,51.53
2017/07/05,12:38:28,51.53
2017/07/05,12:38:29,49.56
2017/07/05,12:38:30,47.58
2017/07/05,12:38:31,45.61
2017/07/05,12:38:32,44.62
2017/07/05,12:38:33,45.28
2017/07/05,12:38:34,44.95
2017/07/05,12:38:35,45.94
2017/07/05,12:38:36,46.59
2017/07/05,12:38:37,47.58
2017/07/05,12:38:38,47.91
2017/07/05,12:38:39,48.24
2017/07/05,12:38:40,48.90
2017/07/05,12:38:41,48.90
2017/07/05,12:38:42,49.23
2017/07/05,12:38:43,48.24
2017/07/05,12:38:44,48.24
2017/07/05,12:38:45,46.59
2017/07/05,12:38:46,44.62
2017/07/05,12:38:47,43.96
2017/07/05,12:38:48,42.97
2017/07/05,12:38:49,40.98
2017/07/05,12:38:50,40.65
2017/07/05,12:38:51,40.32
2017/07/05,12:38:52,40.65
2017/07/05,12:38:53,40.98
2017/07/05,12:38:54,41.64
2017/07/05,12:38:55,41.31
2017/07/05,12:38:56,40.98
2017/07/05,12:38:57,39.99
2017/07/05,12:38:58,40.65
2017/07/05,12:38:59,41.31
2017/07/05,12:39:00,41.64
2017/07/05,12:39:01,42.30
2017/07/05,12:39:02,41.97
2017/07/05,12:39:03,41.31
2017/07/05,12:39:04,40.98
2017/07/05,12:39:05,41.31
2017/07/05,12:39:06,40.98
2017/07/05,12:39:07,41.97
2017/07/05,12:39:08,41.31
2017/07/05,12:39:09,42.97
2017/07/05,12:39:10,43.30
2017/07/05,12:39:11,43.63
2017/07/05,12:39:12,44.62
2017/07/05,12:39:13,45.28
2017/07/05,12:39:14,43.63
2017/07/05,12:39:15,41.97
2017/07/05,12:39:16,42.30
2017/07/05,12:39:17,43.63
2017/07/05,12:39:18,43.63
2017/07/05,12:39:19,43.30
2017/07/05,12:39:20,42.64
2017/07/05,12:39:21,43.30
2017/07/05,12:39:22,42.64
2017/07/05,12:39:23,42.97
2017/07/05,12:39:24,43.63
2017/07/05,12:39:25,43.63
2017/07/05,12:39:26,42.97
2017/07/05,12:39:27,42.64
2017/07/05,12:39:28,42.30
2017/07/05,12:39:29,41.97
2017/07/05,12:39:30,40.98
2017/07/05,12:39:31,39.33
