installation,plot_id,veg_id,over_100cm,date,notes,scientific_name,functional_group,Genus,Species,Status,functional_group__1,visit_year,species_name
shelby,shelby f1,MAVI,24,2017-09-21,NA,Magnolia virginiana,tree,Magnolia,virginiana,native,tree,2017,Magnolia virginiana
shelby,shelby b1,MOCE,7,2017-09-21,NA,Morella cerifera,shrub,Morella,cerifera,native,shrub,2017,Morella cerifera
shelby,shelby f1,MOCE,5,2017-09-21,NA,Morella cerifera,shrub,Morella,cerifera,native,shrub,2017,Morella cerifera
shelby,shelby b1,NYSY,2,2017-09-21,NA,Nyssa sylvatica,tree,Nyssa,sylvatica,native,tree,2017,Nyssa sylvatica
shelby,shelby f1,PITA,37,2017-09-21,NA,Pinus taeda,tree,Pinus,taeda,native,tree,2017,Pinus taeda
shelby,shelby b1,QUNI,9,2017-09-21,NA,Quercus nigra,tree,Quercus,nigra,native,tree,2017,Quercus nigra
shelby,shelby f1,QUNI,19,2017-09-21,NA,Quercus nigra,tree,Quercus,nigra,native,tree,2017,Quercus nigra
shelby,shelby b1,QUST,3,2017-09-21,NA,Quercus stellata,tree,Quercus,stellata,native,tree,2017,Quercus stellata
shelby,shelby b1,RHCO,8,2017-09-21,NA,Rhus copallinum,shrub,Rhus,copallinum,native,shrub,2017,Rhus copallinum
shelby,shelby f1,RHCO,15,2017-09-21,NA,Rhus copallinum,shrub,Rhus,copallinum,native,shrub,2017,Rhus copallinum
shelby,shelby b1,RUBUS,1,2017-09-21,NA,Rubus spp.,forb/shrub,Rubus,spp.,native/introduced,forb/shrub,2017,Rubus spp.
shelby,shelby b1,VACCI,2,2017-09-21,NA,Vaccinium spp.,shrub,Vaccinium,spp.,native,shrub,2017,Vaccinium spp.
shelby,shelby f1,VACCI,19,2017-09-21,NA,Vaccinium spp.,shrub,Vaccinium,spp.,native,shrub,2017,Vaccinium spp.
shelby,shelby d1,ACRU,5,2017-09-23,NA,Acer  rubrum,tree,Acer,rubrum,native,tree,2017,Acer rubrum
shelby,shelby d1,DIVI,2,2017-09-23,NA,Diospyros virginiana,tree,Diospyros,virginiana,native,tree,2017,Diospyros virginiana
shelby,shelby d1,ILGL,122,2017-09-23,NA,Ilex glabra,shrub,Ilex,glabra,native,shrub,2017,Ilex glabra
shelby,shelby d1,ILVO,9,2017-09-23,NA,Ilex vomitoria,shrub,Ilex,vomitoria,native,shrub,2017,Ilex vomitoria
shelby,shelby d1,MOCE,3,2017-09-23,NA,Morella cerifera,shrub,Morella,cerifera,native,shrub,2017,Morella cerifera
shelby,shelby d1,QUNI,15,2017-09-23,NA,Quercus nigra,tree,Quercus,nigra,native,tree,2017,Quercus nigra
shelby,shelby d1,SAAL5,1,2017-09-23,NA,Sassafras albidum,shrub,Sassafras,albidum,native,shrub,2017,Sassafras albidum
shelby,shelby d1,VACCI,6,2017-09-23,changed to vaccinium from red speckle,Vaccinium spp.,shrub,Vaccinium,spp.,native,shrub,2017,Vaccinium spp.
shelby,shelby b2,CAAM,19,2017-09-24,NA,Callicarpa americana,shrub,Callicarpa,americana,native,shrub,2017,Callicarpa americana
shelby,shelby b3,CAAM,64,2017-09-24,NA,Callicarpa americana,shrub,Callicarpa,americana,native,shrub,2017,Callicarpa americana
shelby,shelby g1,DIVI,5,2017-09-24,NA,Diospyros virginiana,tree,Diospyros,virginiana,native,tree,2017,Diospyros virginiana
shelby,shelby b3,EUCA5,27,2017-09-24,NA,Eupatorium capillofolium,forb,Eupatorium,capillofolium,native,forb,2017,Eupatorium capillofolium
shelby,shelby b2,ILGL,134,2017-09-24,NA,Ilex glabra,shrub,Ilex,glabra,native,shrub,2017,Ilex glabra
shelby,shelby b3,ILGL,8,2017-09-24,NA,Ilex glabra,shrub,Ilex,glabra,native,shrub,2017,Ilex glabra
shelby,shelby g1,ILGL,131,2017-09-24,NA,Ilex glabra,shrub,Ilex,glabra,native,shrub,2017,Ilex glabra
shelby,shelby b3,ILVO,2,2017-09-24,NA,Ilex vomitoria,shrub,Ilex,vomitoria,native,shrub,2017,Ilex vomitoria
shelby,shelby g1,ILVO,51,2017-09-24,NA,Ilex vomitoria,shrub,Ilex,vomitoria,native,shrub,2017,Ilex vomitoria
