name,installation,lon,lat,xcrd_ln,ycrd_lt,pid,plot_id,pid2,inst_f_,xcord_ln,ycord_lt,inst_fl_,xcoord_ln,ycoord_lt,inst_fll_,xcoord_lon,ycoord_lat,installation_full_name
EglinF1,eglin,-86.532676,30.605483,-86.532676,30.605483,f1,eglin f1,F-1,Eglin AFB,-86.532676,30.605483,Eglin AFB,-86.532676,30.605483,Eglin AFB,-86.532676,30.605483,Eglin AFB
EglinB2,eglin,-86.496065,30.607785,-86.496065,30.607785,b2,eglin b2,B-2,Eglin AFB,-86.496065,30.607785,Eglin AFB,-86.496065,30.607785,Eglin AFB,-86.496065,30.607785,Eglin AFB
GordonZ1,gordon,-82.185351,33.355677,-82.185351,33.355677,a1,gordon a1,A-1,Fort Gordon,-82.185351,33.355677,Fort Gordon,-82.185351,33.355677,Fort Gordon,-82.185351,33.355677,Fort Gordon
GordonY1,gordon,-82.176099,33.357005,-82.176099,33.357005,b1,gordon b1,B-1,Fort Gordon,-82.176099,33.357005,Fort Gordon,-82.176099,33.357005,Fort Gordon,-82.176099,33.357005,Fort Gordon
GordonX1,gordon,-82.212831,33.35564,-82.212831,33.35564,c1,gordon c1,C-1,Fort Gordon,-82.212831,33.35564,Fort Gordon,-82.212831,33.35564,Fort Gordon,-82.212831,33.35564,Fort Gordon
Cogon10x10,cogon10x,-81.327256,27.675531,-81.327256,27.675531,10,cogon10x 10,1-0,Avon Park AFR,-81.327256,27.675531,Avon Park AFR,-81.327256,27.675531,Avon Park AFR,-81.327256,27.675531,Avon Park AFR
GordonW1,gordon,-82.187065,33.343386,-82.187065,33.343386,d1,gordon d1,D-1,Fort Gordon,-82.187065,33.343386,Fort Gordon,-82.187065,33.343386,Fort Gordon,-82.187065,33.343386,Fort Gordon
GordonV1,gordon,-82.187841,33.342135,-82.187841,33.342135,e1,gordon e1,E-1,Fort Gordon,-82.187841,33.342135,Fort Gordon,-82.187841,33.342135,Fort Gordon,-82.187841,33.342135,Fort Gordon
GordonT1,gordon,-82.195633,33.34406,-82.195633,33.34406,f1,gordon f1,F-1,Fort Gordon,-82.195633,33.34406,Fort Gordon,-82.195633,33.34406,Fort Gordon,-82.195633,33.34406,Fort Gordon
GordonS1,gordon,-82.284032,33.364516,-82.284032,33.364516,g1,gordon g1,G-1,Fort Gordon,-82.284032,33.364516,Fort Gordon,-82.284032,33.364516,Fort Gordon,-82.284032,33.364516,Fort Gordon
GordonR1,gordon,-82.2853,33.364136,-82.2853,33.364136,h1,gordon h1,H-1,Fort Gordon,-82.2853,33.364136,Fort Gordon,-82.2853,33.364136,Fort Gordon,-82.2853,33.364136,Fort Gordon
MovieTheaterCogon,movietheatercog,-81.98388,29.943511,-81.98388,29.943511,on,blanding theater_cogon,O-N,Camp Blanding,-81.98388,29.943511,Camp Blanding,-81.98388,29.943511,Camp Blanding,-81.98388,29.943511,Camp Blanding
BenningB1,benning,-84.900369,32.390499,-84.900369,32.390499,b1,benning b1,B-1,Fort Benning,-84.900369,32.390499,Fort Benning,-84.900369,32.390499,Fort Benning,-84.900369,32.390499,Fort Benning
BlandingN1,blanding,-81.977192,29.83789,-81.977192,29.83789,n1,blanding n1,N-1,Camp Blanding,-81.977192,29.83789,Camp Blanding,-81.977192,29.83789,Camp Blanding,-81.977192,29.83789,Camp Blanding
BenningA1,benning,-84.894867,32.389017,-84.894867,32.389017,a1,benning a1,A-1,Fort Benning,-84.894867,32.389017,Fort Benning,-84.894867,32.389017,Fort Benning,-84.894867,32.389017,Fort Benning
BenningC1,benning,-84.815476,32.345412,-84.815476,32.345412,c1,benning c1,C-1,Fort Benning,-84.815476,32.345412,Fort Benning,-84.815476,32.345412,Fort Benning,-84.815476,32.345412,Fort Benning
BenningD1,benning,-84.774863,32.361567,-84.774863,32.361567,d1,benning d1,D-1,Fort Benning,-84.774863,32.361567,Fort Benning,-84.774863,32.361567,Fort Benning,-84.774863,32.361567,Fort Benning
TyndallD2,tyndall,-85.51935,30.023204,-85.51935,30.023204,d2,tyndall d2,D-2,Tyndall AFB,-85.51935,30.023204,Tyndall AFB,-85.51935,30.023204,Tyndall AFB,-85.51935,30.023204,Tyndall AFB
BlandingJ1,blanding,-82.026049,29.852464,-82.026049,29.852464,j1,blanding j1,J-1,Camp Blanding,-82.026049,29.852464,Camp Blanding,-82.026049,29.852464,Camp Blanding,-82.026049,29.852464,Camp Blanding
Blandingi1,blanding,-82.032726,29.863529,-82.032726,29.863529,i1,blanding i1,I-1,Camp Blanding,-82.032726,29.863529,Camp Blanding,-82.032726,29.863529,Camp Blanding,-82.032726,29.863529,Camp Blanding
BenningE1,benning,-84.818986,32.327739,-84.818986,32.327739,e1,benning e1,E-1,Fort Benning,-84.818986,32.327739,Fort Benning,-84.818986,32.327739,Fort Benning,-84.818986,32.327739,Fort Benning
BenningF1,benning,-84.821965,32.333689,-84.821965,32.333689,f1,benning f1,F-1,Fort Benning,-84.821965,32.333689,Fort Benning,-84.821965,32.333689,Fort Benning,-84.821965,32.333689,Fort Benning
TyndallC1,tyndall,-85.517982,30.022271,-85.517982,30.022271,c1,tyndall c1,C-1,Tyndall AFB,-85.517982,30.022271,Tyndall AFB,-85.517982,30.022271,Tyndall AFB,-85.517982,30.022271,Tyndall AFB
TyndallC2,tyndall,-85.519121,30.025209,-85.519121,30.025209,c2,tyndall c2,C-2,Tyndall AFB,-85.519121,30.025209,Tyndall AFB,-85.519121,30.025209,Tyndall AFB,-85.519121,30.025209,Tyndall AFB
BenningG1,benning,-84.700343,32.377208,-84.700343,32.377208,g1,benning g1,G-1,Fort Benning,-84.700343,32.377208,Fort Benning,-84.700343,32.377208,Fort Benning,-84.700343,32.377208,Fort Benning
BenningH1,benning,-84.672603,32.366872,-84.672603,32.366872,h1,benning h1,H-1,Fort Benning,-84.672603,32.366872,Fort Benning,-84.672603,32.366872,Fort Benning,-84.672603,32.366872,Fort Benning
Benningi1,benning,-84.67736,32.399427,-84.67736,32.399427,i1,benning i1,I-1,Fort Benning,-84.67736,32.399427,Fort Benning,-84.67736,32.399427,Fort Benning,-84.67736,32.399427,Fort Benning
BenningJ1,benning,-84.679634,32.392144,-84.679634,32.392144,j1,benning j1,J-1,Fort Benning,-84.679634,32.392144,Fort Benning,-84.679634,32.392144,Fort Benning,-84.679634,32.392144,Fort Benning
TyndallB3,tyndall,-85.458016,30.015622,-85.458016,30.015622,b3,tyndall b3,B-3,Tyndall AFB,-85.458016,30.015622,Tyndall AFB,-85.458016,30.015622,Tyndall AFB,-85.458016,30.015622,Tyndall AFB
CogonCoastal,cogoncoast,-85.455308,30.018511,-85.455308,30.018511,al,cogoncoast al,A-L,Tyndall AFB,-85.455308,30.018511,Tyndall AFB,-85.455308,30.018511,Tyndall AFB,-85.455308,30.018511,Tyndall AFB
TyndallB4,tyndall,-85.452983,30.01769,-85.452983,30.01769,b4,tyndall b4,B-4,Tyndall AFB,-85.452983,30.01769,Tyndall AFB,-85.452983,30.01769,Tyndall AFB,-85.452983,30.01769,Tyndall AFB
Avonpark E1,avonpark,-81.283291,27.587665,-81.283291,27.587665,e1,avonpark e1,E-1,Avon Park AFR,-81.283291,27.587665,Avon Park AFR,-81.283291,27.587665,Avon Park AFR,-81.283291,27.587665,Avon Park AFR
AvonParkA2,avonpark,-81.311222,27.674646,-81.311222,27.674646,a2,avonpark a2,A-2,Avon Park AFR,-81.311222,27.674646,Avon Park AFR,-81.311222,27.674646,Avon Park AFR,-81.311222,27.674646,Avon Park AFR
AvonparkE2,avonpark,-81.245362,27.630246,-81.245362,27.630246,e2,avonpark e2,E-2,Avon Park AFR,-81.245362,27.630246,Avon Park AFR,-81.245362,27.630246,Avon Park AFR,-81.245362,27.630246,Avon Park AFR
AvonparkC2,avonpark,-81.327873,27.674898,-81.327873,27.674898,c2,avonpark c2,C-2,Avon Park AFR,-81.327873,27.674898,Avon Park AFR,-81.327873,27.674898,Avon Park AFR,-81.327873,27.674898,Avon Park AFR
Cogon pop,cogon p,-81.328408,27.675007,-81.328408,27.675007,op,cogon p op,O-P,Avon Park AFR,-81.328408,27.675007,Avon Park AFR,-81.328408,27.675007,Avon Park AFR,-81.328408,27.675007,Avon Park AFR
AvonparkF1,avonpark,-81.292512,27.615926,-81.292512,27.615926,f1,avonpark f1,F-1,Avon Park AFR,-81.292512,27.615926,Avon Park AFR,-81.292512,27.615926,Avon Park AFR,-81.292512,27.615926,Avon Park AFR
AvonparkG1,avonpark,-81.273215,27.544825,-81.273215,27.544825,g1,avonpark g1,G-1,Avon Park AFR,-81.273215,27.544825,Avon Park AFR,-81.273215,27.544825,Avon Park AFR,-81.273215,27.544825,Avon Park AFR
BlandingK1,blanding,-82.023445,29.837378,-82.023445,29.837378,k1,blanding k1,K-1,Camp Blanding,-82.023445,29.837378,Camp Blanding,-82.023445,29.837378,Camp Blanding,-82.023445,29.837378,Camp Blanding
BlandingM1,blanding,-81.968503,29.84575,-81.968503,29.84575,m1,blanding m1,M-1,Camp Blanding,-81.968503,29.84575,Camp Blanding,-81.968503,29.84575,Camp Blanding,-81.968503,29.84575,Camp Blanding
JacksonJ1,jackson,-80.764428,34.009336,-80.764428,34.009336,j1,jackson j1,J-1,Fort Jackson,-80.764428,34.009336,Fort Jackson,-80.764428,34.009336,Fort Jackson,-80.764428,34.009336,Fort Jackson
JacksonK1,jackson,-80.763432,34.014072,-80.763432,34.014072,k1,jackson k1,K-1,Fort Jackson,-80.763432,34.014072,Fort Jackson,-80.763432,34.014072,Fort Jackson,-80.763432,34.014072,Fort Jackson
JacksonL1,jackson,-80.781399,34.090976,-80.781399,34.090976,l1,jackson l1,L-1,Fort Jackson,-80.781399,34.090976,Fort Jackson,-80.781399,34.090976,Fort Jackson,-80.781399,34.090976,Fort Jackson
JacksonM1,jackson,-80.778834,34.091439,-80.778834,34.091439,m1,jackson m1,M-1,Fort Jackson,-80.778834,34.091439,Fort Jackson,-80.778834,34.091439,Fort Jackson,-80.778834,34.091439,Fort Jackson
ShelbyC1,shelby,-88.865599,30.948842,-88.865599,30.948842,c1,shelby c1,C-1,Camp Shelby,-88.865599,30.948842,Camp Shelby,-88.865599,30.948842,Camp Shelby,-88.865599,30.948842,Camp Shelby
