location,fire_id,max_temp,avg_max_temp,s_abv100,s_abv300,date,fabio_id,biomass,litter_biomass,pct_green,biomass_type,structure,rate_of_spread_50cm,f_litter_biomass,f_biomass,total_biomass,pct_consumed,est_pct_fuel_moisture,pct_fuel_moisture,max_flame_ht,avg_flame_ht,max_fuel_ht,avg_litter_depth,avg_green_ht,avg_brown_ht,avg_fuel_ht
50cm,15,60.37,35.482,0,0,2017-07-12,1,600,1000,75,cogongrass,standing,NA,1000g litter,600g,1600,91.98,35.87125935162094,NA,70,63.5,119,7.666666666666667,103,94,98.5
50cm,16,294.24,180.84,3,0,2017-07-12,1,2000,500,75,cogongrass,standing,NA,500g litter,2000g,2500,86.7476,41.69810751260149,NA,92,85,130,5.333333333333333,127.66666666666667,106,116.83333333333334
50cm,17,963.86,853.888,46,23,2017-07-12,2,1000,500,25,cogongrass,standing,NA,500g litter,1000g,1500,92.85466666666666,43.991416309012884,NA,125,119.5,130,7,121.66666666666667,112,116.83333333333334
50cm,18,903.71,856.048,23,14,2017-07-14,2,1500,0,25,wiregrass,standing,NA,0g litter,1500g,1500,100,NA,NA,155,138.5,125,0,84.33333333333333,122,103.16666666666666
50cm,19,861.21,833.616,140,85,2017-07-14,2,3000,0,75,wiregrass,standing,NA,0g litter,3000g,3000,99.11133333333333,8.927231807951983,NA,167,162.5,111,0,66,109.66666666666667,87.83333333333334
50cm,20,754.82,543.744,10,4,2017-07-14,2,1000,0,75,wiregrass,standing,NA,0g litter,1000g,1000,97.636,14.12859560067682,NA,66,41,110,0,83.33333333333333,103.66666666666667,93.5
50cm,21,934.69,787.566,29,13,2017-07-14,2,600,0,75,wiregrass,standing,NA,0g litter,600g,600,73.84166666666667,22.013380057343092,NA,94,56,105,0,67,102.33333333333333,84.66666666666666
50cm,22,84.82,75.562,0,0,2017-07-14,2,200,0,25,wiregrass,standing,NA,0g litter,200g,200,45.455,10.27591896599139,NA,15,7.5,110,0,41.333333333333336,101.66666666666667,71.5
50cm,23,161.85,129.62,7,0,2017-07-14,2,600,0,25,wiregrass,standing,NA,0g litter,600g,600,91.59166666666665,8.225966303270576,NA,56,50,120,0,54.333333333333336,110.66666666666667,82.5
50cm,24,848.81,754.448,24,10,2017-07-14,2,1000,0,25,wiregrass,standing,NA,0g litter,1000g,1000,99.43,11.578947368421055,NA,94,76,125,0,68.33333333333333,116,92.16666666666666
